,Rank,Step,Value,Metric,Type,Agent
947,0,1800,0.915283203125,Accuracy,Reconstruction,B
951,0,1850,0.912109375,Accuracy,Reconstruction,B
955,0,1900,0.9111328125,Accuracy,Reconstruction,B
959,0,1950,0.91064453125,Accuracy,Reconstruction,B
963,0,2000,0.926513671875,Accuracy,Reconstruction,B
967,0,2050,0.91064453125,Accuracy,Reconstruction,B
971,0,2100,0.90966796875,Accuracy,Reconstruction,B
975,0,2150,0.925048828125,Accuracy,Reconstruction,B
979,0,2200,0.914794921875,Accuracy,Reconstruction,B
983,0,2250,0.91015625,Accuracy,Reconstruction,B
987,0,2300,0.911865234375,Accuracy,Reconstruction,B
991,0,2350,0.9169921875,Accuracy,Reconstruction,B
995,0,2400,0.91845703125,Accuracy,Reconstruction,B
999,0,2450,0.924072265625,Accuracy,Reconstruction,B
1003,0,2500,0.9140625,Accuracy,Reconstruction,B
1007,0,2550,0.91943359375,Accuracy,Reconstruction,B
1011,0,2600,0.918212890625,Accuracy,Reconstruction,B
1015,0,2650,0.91748046875,Accuracy,Reconstruction,B
1019,0,2700,0.922607421875,Accuracy,Reconstruction,B
1023,0,2750,0.914794921875,Accuracy,Reconstruction,B
1027,0,2800,0.916259765625,Accuracy,Reconstruction,B
1031,0,2850,0.91455078125,Accuracy,Reconstruction,B
1035,0,2900,0.91748046875,Accuracy,Reconstruction,B
1039,0,2950,0.9150390625,Accuracy,Reconstruction,B
1043,0,3000,0.925048828125,Accuracy,Reconstruction,B
1047,0,3050,0.92431640625,Accuracy,Reconstruction,B
1051,0,3100,0.918701171875,Accuracy,Reconstruction,B
1055,0,3150,0.925537109375,Accuracy,Reconstruction,B
1059,0,3200,0.92626953125,Accuracy,Reconstruction,B
1063,0,3250,0.910888671875,Accuracy,Reconstruction,B
1067,0,3300,0.92724609375,Accuracy,Reconstruction,B
1071,0,3350,0.921142578125,Accuracy,Reconstruction,B
1075,0,3400,0.9248046875,Accuracy,Reconstruction,B
1079,0,3450,0.924560546875,Accuracy,Reconstruction,B
1083,0,3500,0.92529296875,Accuracy,Reconstruction,B
1087,0,3550,0.9169921875,Accuracy,Reconstruction,B
1091,0,3600,0.91455078125,Accuracy,Reconstruction,B
1095,0,3650,0.914794921875,Accuracy,Reconstruction,B
1099,0,3700,0.925048828125,Accuracy,Reconstruction,B
1103,0,3750,0.921142578125,Accuracy,Reconstruction,B
1107,0,3800,0.924072265625,Accuracy,Reconstruction,B
1111,0,3850,0.9150390625,Accuracy,Reconstruction,B
1115,0,3900,0.93359375,Accuracy,Reconstruction,B
1119,0,3950,0.9287109375,Accuracy,Reconstruction,B
1123,0,4000,0.9287109375,Accuracy,Reconstruction,B
1127,0,4050,0.92236328125,Accuracy,Reconstruction,B
1131,0,4100,0.9248046875,Accuracy,Reconstruction,B
1135,0,4150,0.927001953125,Accuracy,Reconstruction,B
1139,0,4200,0.919677734375,Accuracy,Reconstruction,B
1143,0,4250,0.928955078125,Accuracy,Reconstruction,B
1147,0,4300,0.918701171875,Accuracy,Reconstruction,B
1151,0,4350,0.915771484375,Accuracy,Reconstruction,B
1155,0,4400,0.918701171875,Accuracy,Reconstruction,B
1159,0,4450,0.926025390625,Accuracy,Reconstruction,B
1163,0,4500,0.93212890625,Accuracy,Reconstruction,B
1167,0,4550,0.927978515625,Accuracy,Reconstruction,B
1171,0,4600,0.929443359375,Accuracy,Reconstruction,B
1175,0,4650,0.92431640625,Accuracy,Reconstruction,B
